dataset,task,model,fold,auprc,auroc,es,accuracy,f1,mae,mse,osmae,rmse,r2
tjh,outcome,CatBoost,1,0.9953881502151489,0.9970263242721558,0.0,0.9595375657081604,0.9448819160461426,,,,,
tjh,outcome,CatBoost,2,0.9826544523239136,0.9861733913421631,0.0,0.9222221970558167,0.9054054021835327,,,,,
tjh,outcome,CatBoost,3,0.9941807985305786,0.9961344003677368,0.0,0.9599999785423279,0.9345794320106506,,,,,
tjh,outcome,CatBoost,4,0.9579652547836304,0.9711399078369141,0.0,0.9072847962379456,0.8852459192276001,,,,,
tjh,outcome,CatBoost,5,0.9862186312675476,0.9903002977371216,0.0,0.9322034120559692,0.9210526347160339,,,,,
tjh,outcome,CatBoost,6,0.9325962066650391,0.9599785208702087,0.0,0.9028571248054504,0.8903225660324097,,,,,
tjh,outcome,CatBoost,7,0.9874948859214783,0.9912219047546387,0.8284302517020823,0.9281045794487,0.9120000004768372,,,,,
tjh,outcome,CatBoost,8,0.9997519254684448,0.9998666048049927,0.9747257817312719,0.9945054650306702,0.9919999837875366,,,,,
tjh,outcome,CatBoost,9,0.9985790848731995,0.9990149736404419,0.0,0.9709302186965942,0.9640287756919861,,,,,
tjh,outcome,RNN,1,0.9808864593505859,0.9864060878753662,0.0,0.9364162087440491,0.9090909361839294,,,,,
tjh,outcome,RNN,2,0.9815785884857178,0.9857892394065857,0.0,0.9222221970558167,0.9066666960716248,,,,,
tjh,outcome,RNN,3,0.9939529299736023,0.9970264434814453,0.0,0.8971428275108337,0.8125,,,,,
tjh,outcome,RNN,4,0.9549878835678101,0.9635642170906067,0.0,0.8940397500991821,0.8709677457809448,,,,,
tjh,outcome,RNN,5,0.9638667106628418,0.9722295999526978,0.0,0.9209039807319641,0.8999999761581421,,,,,
tjh,outcome,RNN,6,0.9424132108688354,0.959844172000885,0.0,0.8799999952316284,0.8571428656578064,,,,,
tjh,outcome,RNN,7,0.9739640355110168,0.9757724404335022,0.6522234835067064,0.9019607901573181,0.8672566413879395,,,,,
tjh,outcome,RNN,8,0.9992784857749939,0.999599814414978,0.9494515638391589,0.9890109896659851,0.9838709831237793,,,,,
tjh,outcome,RNN,9,0.9922763109207153,0.9945124387741089,0.0,0.9418604373931885,0.9230769276618958,,,,,
